Date,CA135087F254,CA135087F585,CA135087G328,CA135087L369,CA135087A610,CA135087J546,CA135087J967,CA135087K528,CA135087K940,CA135087L518
2/3/2021,100.049,100.264,100.405,100.149,103.065,106.15,104.1,103.465,100.205,98.715
2/2/2021,100.051,100.267,100.409,100.156,103.07,106.17,104.08,103.54,100.285,98.775
2/1/2021,100.053,100.277,100.417,100.164,103.085,106.18,104.14,103.605,100.36,98.85
1/29/2021,100.054,100.272,100.408,100.148,103.075,106.15,104.17,103.575,100.32,98.81
1/28/2021,100.056,100.272,100.405,100.144,103.095,106.21,104.33,103.61,100.365,98.86
1/27/2021,100.062,100.277,100.406,100.144,103.095,106.23,104.16,103.66,100.42,98.92
1/26/2021,100.062,100.27,100.396,100.12,103.065,106.19,104.14,103.595,100.34,98.835
1/25/2021,100.064,100.269,100.392,100.113,103.06,106.12,104.15,103.61,100.355,98.835
1/22/2021,100.067,100.277,100.407,100.139,103.09,106.16,104.1,103.53,100.24,98.685
1/21/2021,100.068,100.281,100.404,100.133,103.085,106.16,104.16,103.505,100.22,98.66
